"Domain Name","Domain Type",Agency,City,State,"Is Live",SPF,DKIM
BETHLEHEM-PA.GOV,City,"Non-Federal Agency",Bethlehem,PA,true,false,false
BEVERLYHILLS-CA.GOV,City,"Non-Federal Agency","Beverly Hills",CA,true,false,false
BEVERLYHILLSCA.GOV,City,"Non-Federal Agency","Beverly Hills",CA,true,false,false
BEVERLYMA.GOV,City,"Non-Federal Agency",Beverly,MA,true,false,false
BHTX.GOV,City,"Non-Federal Agency","Balcones Heights",TX,true,true,false
BI-IL.GOV,City,"Non-Federal Agency","Highland Park",IL,true,false,false
BIGFLATSNY.GOV,City,"Non-Federal Agency","Big Flats",NY,true,true,false
BIGGS-CA.GOV,City,"Non-Federal Agency",Biggs,CA,true,true,false
BIGSANDYTX.GOV,City,"Non-Federal Agency","Big Sandy",TX,true,false,false
BINGHAMTON-NY.GOV,City,"Non-Federal Agency",Binghamton,NY,true,false,false
BIRMINGHAMAL.GOV,City,"Non-Federal Agency",Birmingham,AL,true,true,false
BISBEEAZ.GOV,City,"Non-Federal Agency",Bisbee,AZ,true,true,false
BISCAYNEPARKFL.GOV,City,"Non-Federal Agency","Biscayne Park",FL,true,true,false
BISMARCKND.GOV,City,"Non-Federal Agency",Bismarck,ND,true,true,false
BIXBYOK.GOV,City,"Non-Federal Agency",Bixby,OK,true,true,false
BLACKDIAMONDWA.GOV,City,"Non-Federal Agency","Black Diamond",WA,true,true,false
BLACKSBURG.GOV,City,"Non-Federal Agency",Blacksburg,VA,true,true,false
BLADENSBURGMD.GOV,City,"Non-Federal Agency",Bladensburg,MD,true,true,false
BLAINEMN.GOV,City,"Non-Federal Agency",Blaine,MN,true,true,false
BLAIRSVILLE-GA.GOV,City,"Non-Federal Agency",Blairsville,GA,true,true,false
BLANDING-UT.GOV,City,"Non-Federal Agency",Blanding,UT,true,true,false
BLENDONTOWNSHIP-MI.GOV,City,"Non-Federal Agency",Hudsonville,MI,true,false,false
BLISSFIELDMICHIGAN.GOV,City,"Non-Federal Agency",Blissfield,MI,true,false,false
BLOOMFIELD-CT.GOV,City,"Non-Federal Agency",BLOOMFIELD,CT,true,false,false
BLOOMFIELDCT.GOV,City,"Non-Federal Agency",BLOOMFIELD,CT,true,false,false
BLOOMFIELDNM.GOV,City,"Non-Federal Agency",Bloomfield,NM,true,false,false
BLOOMINGDALE-GA.GOV,City,"Non-Federal Agency",Bloomingdale,GA,true,true,false
BLOOMINGTONMN.GOV,City,"Non-Federal Agency",Bloomington,MN,true,false,false
BOCARATON-FL.GOV,City,"Non-Federal Agency","Boca Raton",FL,true,false,false
BOERNE-TX.GOV,City,"Non-Federal Agency",BOERNE,TX,true,true,false
BOISEIDAHO.GOV,City,"Non-Federal Agency",Boise,ID,true,false,false
BOLTON-MA.GOV,City,"Non-Federal Agency",Bolton,MA,false,false,false
BONNEYTEXAS.GOV,City,"Non-Federal Agency",Bonney,TX,true,true,false
BOONEVILLE-MS.GOV,City,"Non-Federal Agency",Booneville,MS,true,false,false
